epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.775,0.96832,5.28504,0.01529,0.63958,0.19486,0.24001,0.17393,0.92505,2.88403,0.0203,0.000207189,0.000207189,0.000207189
2,263.586,0.98923,3.78927,0.01554,0.50361,0.50491,0.45113,0.32968,1.01612,1.96333,0.02332,0.000411408,0.000411408,0.000411408
3,377.187,1.01235,2.91975,0.01619,0.51272,0.53934,0.53783,0.37998,1.02428,1.6643,0.02365,0.000611503,0.000611503,0.000611503
4,139.52,1.02218,2.39172,0.01644,0.63674,0.62219,0.60615,0.44342,1.00635,1.5271,0.02316,0.000606437,0.000606437,0.000606437
5,250.427,0.99314,1.93288,0.01563,0.65421,0.631,0.64967,0.4687,1.05515,1.36033,0.02484,0.00060025,0.00060025,0.00060025
6,362.627,0.97453,1.6374,0.01548,0.69317,0.65001,0.70434,0.51306,0.98295,1.22058,0.02243,0.000594062,0.000594062,0.000594062
7,475.642,1.00106,1.54061,0.01591,0.73918,0.69134,0.74166,0.55256,0.93226,1.0721,0.02158,0.000587875,0.000587875,0.000587875
8,587.26,0.9707,1.39382,0.01535,0.73483,0.71557,0.74814,0.54375,1.00437,1.08163,0.02331,0.000581687,0.000581687,0.000581687
9,698.726,0.97661,1.32838,0.01531,0.75709,0.74696,0.78924,0.58169,0.95383,0.9457,0.02271,0.0005755,0.0005755,0.0005755
10,810.755,0.9512,1.2464,0.01485,0.77152,0.74956,0.80058,0.59515,0.93494,0.92259,0.02081,0.000569313,0.000569313,0.000569313
11,923.174,0.94907,1.19992,0.01503,0.7873,0.71631,0.76985,0.58178,0.93128,0.94764,0.02127,0.000563125,0.000563125,0.000563125
12,1033.95,0.94829,1.16892,0.01479,0.78313,0.7375,0.80967,0.60586,0.91432,0.91788,0.02127,0.000556938,0.000556938,0.000556938
13,1145.41,0.93896,1.1052,0.01482,0.78568,0.73633,0.81008,0.59815,0.95422,0.91011,0.02182,0.00055075,0.00055075,0.00055075
14,1257.04,0.93498,1.07812,0.01474,0.81823,0.74459,0.82556,0.60987,0.95981,0.87683,0.02232,0.000544563,0.000544563,0.000544563
15,1397.25,0.9224,1.03756,0.0144,0.78901,0.78642,0.83635,0.62974,0.9224,0.82429,0.0212,0.000538375,0.000538375,0.000538375
16,1539.56,0.92198,1.01574,0.01441,0.79261,0.75314,0.82824,0.63031,0.90838,0.84945,0.02033,0.000532187,0.000532187,0.000532187
17,1685.58,0.92121,0.98705,0.01445,0.82142,0.77209,0.83892,0.64102,0.88353,0.80243,0.02004,0.000526,0.000526,0.000526
18,1817.04,0.90585,0.97765,0.01429,0.79327,0.79793,0.84211,0.62953,0.92305,0.79617,0.02113,0.000519812,0.000519812,0.000519812
19,1928.61,0.90275,0.96307,0.01401,0.80777,0.77602,0.84002,0.64356,0.88224,0.76339,0.01974,0.000513625,0.000513625,0.000513625
20,2040.39,0.92468,0.95673,0.01448,0.81544,0.79516,0.84677,0.64135,0.90969,0.79815,0.02098,0.000507438,0.000507438,0.000507438
21,2151.63,0.90465,0.92983,0.01401,0.82059,0.80349,0.85347,0.6591,0.87078,0.69752,0.01956,0.00050125,0.00050125,0.00050125
22,2262.96,0.89916,0.89461,0.01401,0.87447,0.77599,0.85739,0.66177,0.85262,0.72705,0.01888,0.000495063,0.000495063,0.000495063
23,2374.54,0.88754,0.90395,0.01384,0.83484,0.7963,0.86212,0.67017,0.84571,0.72274,0.01865,0.000488875,0.000488875,0.000488875
24,2486.57,0.89295,0.87708,0.01383,0.84119,0.79244,0.86202,0.67145,0.85353,0.71926,0.01902,0.000482687,0.000482687,0.000482687
25,2598.19,0.90576,0.88547,0.01395,0.84026,0.81828,0.86838,0.68091,0.83586,0.68708,0.01842,0.0004765,0.0004765,0.0004765
26,2710.33,0.88398,0.84805,0.01379,0.84608,0.81052,0.87127,0.67575,0.85698,0.66662,0.01955,0.000470312,0.000470312,0.000470312
27,2822.85,0.86801,0.82407,0.01342,0.84052,0.81178,0.86953,0.67163,0.8721,0.70427,0.02001,0.000464125,0.000464125,0.000464125
28,2935.29,0.86939,0.83411,0.01354,0.81477,0.82057,0.86348,0.6745,0.84205,0.72784,0.01918,0.000457938,0.000457938,0.000457938
29,3046.42,0.87023,0.81799,0.01314,0.84563,0.81438,0.8713,0.68448,0.82282,0.70024,0.01841,0.00045175,0.00045175,0.00045175
30,3159.54,0.86739,0.81592,0.01327,0.8374,0.82271,0.8734,0.67157,0.8665,0.713,0.0199,0.000445562,0.000445562,0.000445562
31,3272.21,0.86332,0.80372,0.01321,0.87503,0.81962,0.88647,0.69492,0.83682,0.6519,0.01885,0.000439375,0.000439375,0.000439375
32,3385.08,0.85284,0.78257,0.01319,0.86777,0.82259,0.8801,0.68921,0.8381,0.6553,0.01896,0.000433187,0.000433187,0.000433187
33,3498.68,0.85448,0.75723,0.01332,0.85795,0.83674,0.87853,0.69302,0.81274,0.64136,0.01795,0.000427,0.000427,0.000427
34,3611.81,0.85563,0.7566,0.01306,0.86594,0.84682,0.88533,0.69539,0.8341,0.6326,0.01852,0.000420812,0.000420812,0.000420812
35,3725.7,0.85774,0.76068,0.01342,0.86004,0.83137,0.88459,0.68612,0.8601,0.65019,0.0194,0.000414625,0.000414625,0.000414625
36,3838.36,0.85221,0.74583,0.01319,0.86508,0.82289,0.88151,0.6939,0.83762,0.66571,0.01849,0.000408438,0.000408438,0.000408438
37,3950.49,0.84381,0.75396,0.013,0.86228,0.83615,0.88765,0.71,0.79163,0.63942,0.01757,0.00040225,0.00040225,0.00040225
38,4063.16,0.83787,0.73738,0.01274,0.85547,0.84281,0.88415,0.70408,0.80469,0.64479,0.01769,0.000396063,0.000396063,0.000396063
39,4173.34,0.82996,0.72427,0.01271,0.86962,0.83473,0.89359,0.70887,0.80997,0.62621,0.01808,0.000389875,0.000389875,0.000389875
40,4283.85,0.82863,0.7432,0.01297,0.87996,0.84901,0.89941,0.71821,0.79154,0.60182,0.01748,0.000383688,0.000383688,0.000383688
41,4393.88,0.82057,0.70703,0.01261,0.8846,0.83379,0.89267,0.70928,0.80518,0.62261,0.01793,0.0003775,0.0003775,0.0003775
42,4506.3,0.8247,0.7266,0.0126,0.87017,0.83514,0.8961,0.7163,0.78713,0.62,0.01728,0.000371313,0.000371313,0.000371313
43,4617.18,0.8099,0.6918,0.01244,0.89344,0.83994,0.89162,0.71575,0.78342,0.62962,0.01722,0.000365125,0.000365125,0.000365125
44,4727.77,0.81073,0.71428,0.01233,0.87756,0.83736,0.89279,0.71176,0.79507,0.60166,0.01738,0.000358938,0.000358938,0.000358938
45,4837.24,0.83267,0.70589,0.01271,0.86578,0.8491,0.89284,0.71702,0.79331,0.61066,0.01747,0.00035275,0.00035275,0.00035275
46,4947.06,0.79673,0.67293,0.01208,0.87043,0.84853,0.89936,0.73032,0.75878,0.59616,0.01649,0.000346563,0.000346563,0.000346563
47,5057.01,0.78996,0.66642,0.01191,0.88685,0.85091,0.90074,0.72675,0.77495,0.58934,0.01709,0.000340375,0.000340375,0.000340375
48,5166.49,0.79624,0.6612,0.01197,0.89287,0.84573,0.9024,0.72192,0.78835,0.59796,0.01733,0.000334188,0.000334188,0.000334188
49,5276.63,0.79418,0.65754,0.01193,0.87811,0.85409,0.90013,0.73206,0.75503,0.5927,0.01627,0.000328,0.000328,0.000328
50,5385.54,0.80375,0.66874,0.01213,0.90125,0.86166,0.90755,0.73236,0.77838,0.57623,0.01704,0.000321812,0.000321812,0.000321812
51,5495.22,0.78633,0.66291,0.01192,0.89465,0.84056,0.89806,0.72347,0.79007,0.58403,0.01755,0.000315625,0.000315625,0.000315625
52,5604.01,0.79396,0.6642,0.01207,0.87845,0.85091,0.90096,0.73427,0.75195,0.57235,0.01633,0.000309437,0.000309437,0.000309437
53,5714.75,0.77766,0.63844,0.01187,0.87827,0.86491,0.90649,0.73733,0.76071,0.56102,0.01671,0.00030325,0.00030325,0.00030325
54,5824.9,0.79827,0.63837,0.012,0.88859,0.85083,0.90292,0.73603,0.76652,0.6001,0.0168,0.000297063,0.000297063,0.000297063
55,5935.59,0.79023,0.63737,0.01191,0.89547,0.85791,0.90413,0.73927,0.76375,0.57369,0.01661,0.000290875,0.000290875,0.000290875
56,6045,0.78738,0.63844,0.01196,0.8952,0.86155,0.90825,0.73743,0.76508,0.57436,0.01658,0.000284688,0.000284688,0.000284688
57,6156.27,0.78583,0.6177,0.01201,0.89596,0.87092,0.91273,0.74432,0.74821,0.56474,0.01615,0.0002785,0.0002785,0.0002785
58,6265.81,0.77147,0.60909,0.01152,0.88559,0.86507,0.90974,0.74175,0.74369,0.56434,0.01619,0.000272313,0.000272313,0.000272313
59,6375.63,0.76186,0.61493,0.01168,0.89606,0.86827,0.91063,0.74699,0.74213,0.58019,0.01599,0.000266125,0.000266125,0.000266125
60,6486.75,0.76207,0.61055,0.01152,0.89763,0.86149,0.90899,0.74207,0.76124,0.59716,0.01686,0.000259938,0.000259938,0.000259938
61,6600.17,0.75751,0.58891,0.01142,0.89291,0.86887,0.90812,0.74956,0.73356,0.56453,0.01578,0.00025375,0.00025375,0.00025375
62,6713.96,0.77553,0.61984,0.01171,0.89408,0.86352,0.90824,0.74451,0.74656,0.5607,0.01612,0.000247563,0.000247563,0.000247563
63,6826.53,0.76582,0.59494,0.0116,0.90714,0.84501,0.90801,0.75057,0.73682,0.5685,0.01571,0.000241375,0.000241375,0.000241375
